subject_id,subject_name,subject_code,program_id,semester_id,,,,,,,,,
1,"Business, Society and Law",23ONMBT618,1,1,,,,,,,,,
2,Financial Reporting and Analysis,23ONMBT619,1,1,,,,,,,,,
3,Management Practices and Organizational Behavior,23ONMBT620,1,1,,,,,,,,,
4,Decision Science,23ONMBT621,1,1,,,,,,,,,
5,Managerial Economics,23ONMBT622,1,1,,,,,,,,,
6,Marketing Management,23ONMBT623,1,1,,,,,,,,,
7,Communications skills,23ONMBT624,1,1,,,,,,,,,
8,Human Resource Management,22ONMBT657,1,2,,,,,,,,,
9,Supply Chain & Logistics Management,22ONMBT658,1,2,,,,,,,,,
10,Consumer Psychology,22ONMBT659,1,2,,,,,,,,,
11,Business Research Methods,22ONMBT660,1,2,,,,,,,,,
12,Financial Management,22ONMBT661,1,2,,,,,,,,,
13,Productions & Operations Management,22ONMBT662,1,2,,,,,,,,,
14,Professional Communication Skills -1 ,22ONMBB663,1,2,,,,,,,,,
15,"Strategy, Business and Globalization",22ONMBT726,1,3,,,,,,,,,
16,Data Analysis for Business Decisions,22ONMBT727,1,3,,,,,,,,,
17,Management Lessons from Ancient India,22ONMBT728,1,3,,,,,,,,,
18,Entrepreneurial Strategies-I,22ONMBT735,1,3,,,,,,,,,
19,Social Entrepreneurship,22ONMBT736,1,3,,,,,,,,,
20,Human Resource Analytics,22ONMBT731,1,3,,,,,,,,,
21,Organisation Change & Development,22ONMBT732,1,3,,,,,,,,,
22,Export Import Documentation,22ONMBT733,1,3,,,,,,,,,
23,International Economics,22ONMBT734,1,3,,,,,,,,,
24,Marketing Analytics,22ONMBT729,1,3,,,,,,,,,
25,Advertising and Brand Management,22ONMBT730,1,3,,,,,,,,,
26,Project finance and financial modeling,22ONMBT738,1,3,,,,,,,,,
27,Banking and Financial Services management,22ONMBT737,1,3,,,,,,,,,
28,Project Management,23ONMBT765,1,4,,,,,,,,,
29,Values and Ethics,23ONMBT766,1,4,,,,,,,,,
30,Academic Research Writing/ Industry Immersion/ International Project/ Social Outreach Intiatives/Case Writing / Rural Immersion,23ONMBR767,1,4,,,,,,,,,
31,Accounting for managers,23ONBBT120,2,1,,,,,,,,,
32,Marketing Management,23ONBBT119,2,1,,,,,,,,,
33,Micro economics,23ONBBT118,2,1,,,,,,,,,
34,"Universal Human Values, Ethics & Life Skills - I",23ONBBT123,2,1,,,,,,,,,
35,Management Principles and Organizational Behaviour,23ONBBT121,2,1,,,,,,,,,
36,Communication Skills,23ONBBT122,2,1,,,,,,,,,
37,Macroeconomics,22ONBBT157,2,2,,,,,,,,,
38,Human Resource Management,22ONBBT158,2,2,,,,,,,,,
39,Business Mathematics and Statistics,22ONBBT159,2,2,,,,,,,,,
40,Professional Communication Skills,22ONBBT160,2,2,,,,,,,,,
41,Financial Management,22ONBBT161,2,2,,,,,,,,,
42,Logistics and Supply Chain Management/ Mapped,22ONBBT226,2,3,,,,,,,,,
43,Research Methodology,22ONBBT227,2,3,,,,,,,,,
44,"Universal Human Values, Ethics and Life Skills- II",22ONBBT228,2,3,,,,,,,,,
45,Operations Research,23ONBBT267,2,4,,,,,,,,,
46,Commercial & Company Law,23ONBBT268,2,4,,,,,,,,,
47,Consumer Behaviour,23ONBBT269,2,4,,,,,,,,,
48,Strategic Management,23ONBBT336,2,5,,,,,,,,,
49,Business Environment,23ONBBT337,2,5,,,,,,,,,
50,Banking & Insurance,23ONBBT338,2,5,,,,,,,,,
51,Stress Management,23ONBBT339,2,5,,,,,,,,,
52,Industrial Relation and labor law,23ONBBT376,2,6,,,,,,,,,
53,Dissertation 1/ Capstone project,23ONBBR377,2,6,,,,,,,,,
54,Accounting for managers,23ONBBT120,3,1,,,,,,,,,
55,Marketing Management,23ONBBT119,3,1,,,,,,,,,
56,Corporate Business Law,23ONBBT124,3,1,,,,,,,,,
57,Microeconomics,23ONBBT118,3,1,,,,,,,,,
58,Business Communication I,23ONBBT122,3,1,,,,,,,,,
59,Management Principles and Organizational Behaviour,23ONBBT121,3,1,,,,,,,,,
60,Macroeconomics,22ONBBT151,3,2,,,,,,,,,
61,Financial Accounting ,22ONBBT155,3,2,,,,,,,,,
62,Human Resource Management,22ONBBT152,3,2,,,,,,,,,
63,Business Communication -II,22ONBBT154,3,2,,,,,,,,,
64,Business Mathematics and Statistics,22ONBBT153,3,2,,,,,,,,,
65,Logistics and Supply Chain Management,22ONBBT201,3,3,,,,,,,,,
66,Research Methodology,22ONBBT202,3,3,,,,,,,,,
67,Entrepreneurship,22ONBBT203,3,3,,,,,,,,,
68,Introduction to Management and Leadership,22ONBBT204,3,3,,,,,,,,,
69,Universal Human Values and Professional Ethics,22ONBBT205,3,3,,,,,,,,,
70,Management Accounting ,22ONBBT206,3,3,,,,,,,,,
71,Advanced Database Management System,23ONMCH601,4,1,,,,,,,,,
72,Advanced Computer Networks,23ONMCT602,4,1,,,,,,,,,
73,Web Programming,23ONMCH603,4,1,,,,,,,,,
74,Python Programming,23ONMCH604,4,1,,,,,,,,,
75,Network Security and Cryptography,23ONMCT605,4,1,,,,,,,,,
76,Advanced Internet Programming,23ONMCH651,4,2,,,,,,,,,
77,Design and Analysis of Algorithms,23ONMCH652,4,2,,,,,,,,,
78,Software Testing,23ONMCT653,4,2,,,,,,,,,
79,Machine Learning,23ONMCT701,4,3,,,,,,,,,
80,Cloud Computing,23ONMCT702,4,3,,,,,,,,,
81,Automation Software Testing,23ONMCT703,4,3,,,,,,,,,
82,Robotic Process Automation,23ONMCT704,4,3,,,,,,,,,
83,Internet of Things,23ONMCT751,4,4,,,,,,,,,
84,Big Data ,23ONMCT752,4,4,,,,,,,,,
85,Major Project,23ONMCR753,4,4,,,,,,,,,
86,Literary Criticism and Critical Approaches- I,23ONLET601,5,1,,,,,,,,,
87,British Poetry Till 17th Century,23ONLET602,5,1,,,,,,,,,
88,British Drama - I,23ONLET603,5,1,,,,,,,,,
89,Early British Fiction,23ONLET604,5,1,,,,,,,,,
90,English Language,23ONLET605,5,1,,,,,,,,,
91,Managerial Economics,23ONMCT616,6,1,,,,,,,,,
92,Business Environment,23ONMCT617,6,1,,,,,,,,,
93,Financial Management,23ONMCT618,6,1,,,,,,,,,
94,Professional Business Communication,23ONMCT619,6,1,,,,,,,,,
95,Research Methodology,23ONMCT620,6,1,,,,,,,,,
96,Financial Accounting and Analysis,23ONMCT621,6,1,,,,,,,,,
97,Indian Financial System,22ONMCT651,6,2,,,,,,,,,
98,Advance Financial Management,22ONMCT652,6,2,,,,,,,,,
99,Financial Derivatives,22ONMCT653,6,2,,,,,,,,,
100,Budgeting Forecasting,22ONMCT654,6,2,,,,,,,,,
101,Global Strategic Management,22ONMCT701,6,3,,,,,,,,,
102,Corporate Social Responsibility,22ONMCT702,6,3,,,,,,,,,
103,Financial Reporting,23ONMCT751,6,4,,,,,,,,,
104,Audit and Assurance,23ONMCT752,6,4,,,,,,,,,
105,Performance Management,23ONMCT753,6,4,,,,,,,,,
106,Income Tax Law & Accounts,23ONMCT754,6,4,,,,,,,,,
107,Venture Capital and Private Equity,23ONMCT755,6,4,,,,,,,,,
108,Micro Finance Management,23ONMCT756,6,4,,,,,,,,,
109,Managerial Economics,23ONMCT601,7,1,,,,,,,,,
110,Business Environment,23ONMCT602,7,1,,,,,,,,,
111,Portfolio Management,23ONMCT603,7,1,,,,,,,,,
112,Professional Business Communication,23ONMCT604,7,1,,,,,,,,,
113,Strategic Business Leader,23ONMCT605,7,1,,,,,,,,,
114,Financial Accounting and Analysis,23ONMCT606,7,1,,,,,,,,,
115,Indian Financial System,22ONMCT651,7,2,,,,,,,,,
116,Portfolio Management  Theory & Practice,22ONMCT652,7,2,,,,,,,,,
117,Financial Reporting,22ONMCT654,7,2,,,,,,,,,
118,Budgeting Forecasting,22ONMCT653,7,2,,,,,,,,,
119,Strategic Business Reporting - I,22ONMCT655,7,2,,,,,,,,,
120,Strategic Business Reporting - II,22ONMCT656,7,2,,,,,,,,,
121,Global Strategic Management,22ONMCT701,7,3,,,,,,,,,
122,Taxation UK,22ONMCT702,7,3,,,,,,,,,
123,Audit and Assurance,22ONMCT703,7,3,,,,,,,,,
124,Advance Audit and Assurance,22ONMCT704,7,3,,,,,,,,,
125,Performance Management,22ONMCT705,7,3,,,,,,,,,
126,Income Tax Law and Accounts,22ONMCT706,7,3,,,,,,,,,
127,Real Analysis,23ONMTT601,8,1,,,,,,,,,
128,Linear Algebra,23ONMTT602,8,1,,,,,,,,,
129,Differential Equations,23ONMTT603,8,1,,,,,,,,,
130,Complex Analysis,23ONMTT604,8,1,,,,,,,,,
131,Object oriented Programming in C++,23ONMTT605,8,1,,,,,,,,,
132,Micro Economic Analysis,23ONSET601,9,1,,,,,,,,,
133,Macro Economic Analysis,23ONSET602,9,1,,,,,,,,,
134,Mathematics for Economics,23ONSET603,9,1,,,,,,,,,
135,Computer Applications,23ONSET605,9,1,,,,,,,,,
